BookId,Title,Author,AuthorLf,AdditionalAuthors,ISBN,ISBN13,MyRating,AverageRating,Publisher,Binding,Pages,YearPublished,OriginalPublicationYear,DateRead,DateAdded,Bookshelves,BookshelvesWithPositions,ExclusiveShelf,MyReview,Spoiler,Notes,ReadCount,RecommendedFor,RecommendedBy,OwnedCopies,OriginalPurchaseDate,OriginalPurchaseLocation,Condition,ConditionDescription,BCID
36322177,Beginning Spring Boot 2: Applications and Microservices with the Spring Framework,K Siva Prasad Reddy,"Reddy, K Siva Prasad",,"=""""","=""""",0,3.25,Apress,Kindle Edition,304,2017,,,2020/03/14,currently-reading,currently-reading (#11),currently-reading,,,,1,,,0,,,,,
7267353,Don Juan: His Own Version,Peter Handke,"Handke, Peter",Krishna Winston,"=""0374142319""","=""9780374142315""",3,2.94,"Farrar, Straus and Giroux",Hardcover,112,2010,2004,2020/03/13,2020/03/11,"2020, literature","2020 (#27), literature (#303)",read,,,,1,,,0,,,,,
19193024,The African,J.M.G. Le Clézio,"Clézio, J.M.G. Le",C. Dickson,"=""""","=""9781567925128""",0,3.67,"David R. Godine, Publisher",Kindle Edition,128,2013,2004,,2020/03/13,currently-reading,currently-reading (#10),currently-reading,,,,1,,,0,,,,,
11991,The Fall,Albert Camus,"Camus, Albert",Justin O'Brien,"=""0679720227""","=""9780679720225""",0,4.04,Vintage,Paperback,147,1991,1956,,2020/03/12,to-read,to-read (#753),to-read,,,,0,,,0,,,,,
58696,David Copperfield,Charles Dickens,"Dickens, Charles",Jeremy Tambling,"=""""","=""""",0,3.99,Penguin,Paperback,882,2004,1850,,2020/03/12,to-read,to-read (#752),to-read,,,,0,,,0,,,,,
6969,Emma,Jane Austen,"Austen, Jane",Fiona Stafford,"=""0141439580""","=""9780141439587""",0,4.00,Penguin Books,Paperback,474,2003,1815,,2020/03/12,to-read,to-read (#751),to-read,,,,0,,,0,,,,,
7190,"The Three Musketeers (The D'Artagnan Romances, #1)",Alexandre Dumas,"Dumas, Alexandre",,"=""""","=""""",0,4.07,Modern Library,Paperback,625,2001,1844,,2020/03/12,to-read,to-read (#750),to-read,,,,0,,,0,,,,,
1617,Night  (The Night Trilogy #1),Elie Wiesel,"Wiesel, Elie","Marion Wiesel, François Mauriac","=""""","=""""",0,4.33,Hill & Wang,Paperback,115,2006,1956,,2020/03/12,to-read,to-read (#749),to-read,,,,0,,,0,,,,,
11097712,"The Caves of Steel (Robot, #1)",Isaac Asimov,"Asimov, Isaac",,"=""""","=""""",3,4.17,Spectra,Kindle Edition,271,2011,1954,2020/03/12,2019/11/19,"2020, sci-fi","2020 (#26), sci-fi (#80)",read,,,,1,,,0,,,,,
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""1524763136""","=""9781524763138""",5,4.56,Crown,Hardcover,426,2018,2018,2019/12/30,2019/03/29,"2019, spectacular, literature","2019 (#68), spectacular (#42), literature (#302)",read,,,,1,,,0,,,,,
141720,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,"Dennett, Daniel C.",,"=""014016734X""","=""9780140167344""",5,4.04,Penguin,Paperback,592,1996,1995,2012/03/06,2011/12/28,"2012, must-read, science","2012 (#10), must-read (#4), science (#104)",read,,,,1,,,0,,,,,
7144,Crime and Punishment,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",David McDuff,"=""0143058142""","=""9780143058144""",5,4.21,Penguin,Paperback,671,2002,1866,1990/01/01,2010/03/17,"spectacular, top-100, must-read, literature","spectacular (#5), top-100 (#12), must-read (#5), literature (#301)",read,,,,1,,,0,,,,,
37781,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,"Achebe, Chinua",,"=""""","=""""",5,3.66,Anchor Books,Paperback,209,1994,1958,2005/01/01,2010/09/05,"spectacular, top-100, literature","spectacular (#18), top-100 (#23), literature (#300)",read,,,,1,,,0,,,,,
386299,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",3,3.77,Scribner,Paperback,128,1995,1951,2005/01/01,2010/03/24,"top-100, literature","top-100 (#18), literature (#299)",read,,,,1,,,0,,,,,
4671,The Great Gatsby,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Francis Scott Fitzgerald,"=""""","=""""",5,3.92,Scribner,Paperback,200,2004,1925,1990/01/01,2010/03/17,"spectacular, top-100, literature","spectacular (#14), top-100 (#9), literature (#298)",read,,,,1,,,0,,,,,
4016515,Letter to My Daughter,Maya Angelou,"Angelou, Maya",,"=""1400066124""","=""9781400066124""",3,4.11,Random House,Hardcover,166,2008,2008,2016/10/31,2016/10/31,"2016, literature","2016 (#68), literature (#297)",read,,,,1,,,0,,,,,
9309527,The Chrysalids,John Wyndham,"Wyndham, John",,"=""""","=""""",4,3.93,Penguin Books,Kindle Edition,212,2010,1955,2016/10/24,2012/11/20,"2016, sci-fi, literature","2016 (#67), sci-fi (#43), literature (#296)",read,,,,1,,,0,,,,,
23247572,The Philosophy of Poetry: The Genius of Lucretius,Henri Bergson,"Bergson, Henri",,"=""1497675669""","=""9781497675667""",4,3.40,Philosophical Library/Open Road,ebook,83,2014,1959,2016/08/28,2016/08/28,"2016, literature","2016 (#54), literature (#295)",read,,,,1,,,0,,,,,
10409448,On Evil,Terry Eagleton,"Eagleton, Terry",,"=""0300171250""","=""9780300171259""",3,3.67,Yale University Press,Paperback,175,2011,2010,2015/10/10,2015/08/11,"2015, literature","2015 (#76), literature (#294)",read,,,,1,,,0,,,,,
13436289,Japanese Proverbs: Wit and Wisdom: 200 Classic Japanese Sayings and Expressions,David Galef,"Galef, David",Jun Hashimoto,"=""4805312009""","=""9784805312001""",2,3.70,Tuttle Publishing,Paperback,224,2012,2012,2015/09/20,2015/09/20,"2015, literature","2015 (#73), literature (#293)",read,,,,1,,,0,,,,,
61665,Billions & Billions: Thoughts on Life and Death at the Brink of the Millennium,Carl Sagan,"Sagan, Carl",Ann Druyan,"=""0345379187""","=""9780345379184""",4,4.28,Ballantine Books,Paperback,296,1998,1997,2015/09/06,2011/12/31,"2015, science","2015 (#62), science (#103)",read,,,,1,,,0,,,,,
16241139,Intuition Pumps And Other Tools for Thinking,Daniel C. Dennett,"Dennett, Daniel C.",,"=""0393082067""","=""9780393082067""",4,3.79,W. W. Norton  Company,Hardcover,496,2013,2013,2015/08/10,2014/10/13,"2015, science","2015 (#55), science (#102)",read,,,,1,,,0,,,,,
76778,The Martian Chronicles,Ray Bradbury,"Bradbury, Ray",,"=""0553278223""","=""9780553278224""",3,4.14,Bantam/Spectra,Mass Market Paperback,182,1984,1949,2014/08/18,2013/12/20,"sci-fi, 2014, literature","sci-fi (#28), 2014 (#19), literature (#292)",read,,,,1,,,0,,,,,
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141301066""","=""9780141301068""",4,4.31,Puffin Books,Paperback,240,1998,1988,2014/01/08,2014/01/06,"2014, children, literature","2014 (#3), children (#10), literature (#291)",read,,,,1,,,0,,,,,
992540,The Everything Breastfeeding Book: Basic Techniques and Reassuring Advice Every New Mother Needs to Know,Suzanne Fredregill,"Fredregill, Suzanne",,"=""1580625827""","=""9781580625821""",4,3.63,Everything,Paperback,320,2002,2002,2013/04/19,2013/04/15,"2013, science","2013 (#25), science (#101)",read,,,,1,,,0,,,,,
6855699,Let's Take the Long Way Home: A Memoir of Friendship,Gail Caldwell,"Caldwell, Gail",,"=""1400067383""","=""9781400067381""",4,3.94,Random House,Hardcover,190,2010,2010,2012/12/29,2012/12/26,"2012, literature","2012 (#62), literature (#290)",read,,,,1,,,0,,,,,
333867,The Stars My Destination,Alfred Bester,"Bester, Alfred",Neil Gaiman,"=""0679767800""","=""9780679767800""",4,4.11,Vintage,Paperback,258,1996,1955,2012/12/10,2012/12/09,"2012, sci-fi, literature","2012 (#57), sci-fi (#5), literature (#289)",read,,,,1,,,0,,,,,
530965,The Day of the Triffids,John Wyndham,"Wyndham, John",,"=""0812967127""","=""9780812967128""",5,4.02,Modern Library,Paperback,228,2003,1951,2012/11/20,2012/10/26,"2012, sci-fi, literature","2012 (#55), sci-fi (#7), literature (#288)",read,,,,1,,,0,,,,,
8909,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,"=""0375759239""","=""9780375759239""",4,3.82,Modern Library,Paperback,192,2002,1898,2012/08/22,2012/04/09,"2012, sci-fi, literature, top-1000","2012 (#37), sci-fi (#17), literature (#127), top-1000 (#88)",read,,,,1,,,0,,,,,
6346975,Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"Foer, Joshua",,"=""159420229X""","=""9781594202292""",5,3.87,"Penguin Press HC, The",Hardcover,307,2011,2011,2012/07/10,2012/07/09,"2012, science","2012 (#29), science (#100)",read,,,,1,,,0,,,,,
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",5,4.31,Scribner,Hardcover,571,2010,2010,2012/06/11,2012/05/23,"2012, science","2012 (#27), science (#99)",read,,,,1,,,0,,,,,
5548,What Do You Care What Other People Think?,Richard P. Feynman,"Feynman, Richard P.",,"=""0393320928""","=""9780393320923""",3,4.27,W.W. Norton & Company,Paperback,256,2001,1988,2011/11/05,2011/08/10,"2011, science","2011 (#30), science (#98)",read,,,,1,,,0,,,,,
17098,Isaac Newton,James Gleick,"Gleick, James",,"=""1400032954""","=""9781400032952""",4,3.84,Vintage,Paperback,288,2004,2003,2011/02/03,2010/11/14,"2011, science","2011 (#4), science (#97)",read,,,,1,,,0,,,,,
117047,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,Richard Dawkins,"Dawkins, Richard",,"=""0141026162""","=""9780141026169""",5,4.09,Penguin,Paperback,466,2006,1986,2011/01/02,2010/09/05,"2011, science","2011 (#5), science (#96)",read,,,,1,,,0,,,,,
19382,Candide and Other Stories (World's Classics),Voltaire,"Voltaire, Voltaire",Roger Pearson,"=""0192807269""","=""9780192807267""",4,3.94,Oxford University Press,Paperback,301,2006,1759,2010/01/01,2010/03/17,"2010, literature, top-1000","2010 (#16), literature (#287), top-1000 (#87)",read,,,,1,,,0,,,,,
67762,Salomé,Oscar Wilde,"Wilde, Oscar","Robert Baldwin Ross, Aubrey Beardsley, Alfred Bruce Douglas","=""0486421279""","=""9780486421278""",3,3.69,Dover Publications,Paperback,64,2002,1891,2009/11/01,2010/03/17,"2009, theatre, literature","2009 (#31), theatre (#76), literature (#286)",read,,,,1,,,0,,,,,
2552,On the Road,Jack Kerouac,"Kerouac, Jack",Ann Charters,"=""0141182679""","=""9780141182674""",5,3.63,Penguin Books,Paperback,281,2000,1957,2009/01/01,2010/03/24,"2009, literature, top-1000","2009 (#35), literature (#202), top-1000 (#86)",read,,,,1,,,0,,,,,
4905,Heart of Darkness  ,Joseph Conrad,"Conrad, Joseph",,"=""0141182431""","=""9780141182438""",4,3.42,Penguin Books Ltd,Paperback,218,2000,1899,2009/01/01,2010/03/17,"2009, literature, top-1000","2009 (#8), literature (#216), top-1000 (#85)",read,,,,1,,,0,,,,,
170448,Animal Farm,George Orwell,"Orwell, George","Russell Baker, C.M. Woodhouse","=""0451526341""","=""9780451526342""",5,3.93,Signet Classics,Mass Market Paperback,141,1996,1945,2009/01/01,2010/03/17,"literature, top-1000","literature (#212), top-1000 (#84)",read,,,,1,,,0,,,,,
9712,Love in the Time of Cholera,Gabriel García Márquez,"Márquez, Gabriel García",Edith Grossman,"=""140003468X""","=""9781400034680""",5,3.91,Vintage International,Paperback,348,2003,1985,2007/01/01,2010/09/05,"spectacular, top-100, literature","spectacular (#16), top-100 (#22), literature (#285)",read,,,,1,,,0,,,,,
822361,Zorba the Greek,Nikos Kazantzakis,"Kazantzakis, Nikos",,"=""0684825546""","=""9780684825540""",4,4.07,Scribner,Paperback,320,1996,1946,2007/01/01,2010/10/06,"top-100, literature","top-100 (#26), literature (#284)",read,,,,1,,,0,,,,,
1384,The Odyssey,Homer,"Homer, Homer","E.V. Rieu, Peter Jones, D.C.H. Rieu","=""0140449116""","=""9780140449112""",5,3.76,Penguin Classics,Paperback,324,2003,-800,2007/01/01,2010/03/17,"top-100, literature","top-100 (#3), literature (#283)",read,,,,1,,,0,,,,,
175515,The Fall of the House of Usher and Other Writings,Edgar Allan Poe,"Poe, Edgar Allan",David Galloway,"=""0141439815""","=""9780141439815""",5,4.20,Penguin Books,Paperback,488,2003,,2006/01/01,2010/11/30,"top-100, spectacular, must-read, literature","top-100 (#28), spectacular (#23), must-read (#8), literature (#282)",read,,,,1,,,0,,,,,
1376,The Iliad,Homer,"Homer, Homer","E.V. Rieu, Peter Jones, D.C.H. Rieu","=""0140447946""","=""9780140447941""",5,3.86,Penguin Classics,Paperback,462,2003,-750,2006/01/01,2010/03/17,"spectacular, top-100, literature","spectacular (#7), top-100 (#4), literature (#281)",read,,,,1,,,0,,,,,
2527,The Gospel According to Jesus Christ,José Saramago,"Saramago, José",Giovanni Pontiero,"=""0156001411""","=""9780156001410""",5,4.29,Harcourt,Paperback,377,1994,1991,2006/01/01,2010/03/17,"spectacular, literature, top-1000","spectacular (#10), literature (#280), top-1000 (#83)",read,,,,1,,,0,,,,,
51496,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Mervyn Peake, Dan Chaon","=""0451528956""","=""9780451528957""",5,3.81,Signet Classics,Paperback,144,2003,1886,2006/01/01,2013/03/14,"literature, top-1000","literature (#279), top-1000 (#82)",read,,,,1,,,0,,,,,
2623,Great Expectations,Charles Dickens,"Dickens, Charles",Marisa Sestino,"=""0192833596""","=""9780192833594""",4,3.77,Oxford University Press,Paperback,505,1998,1861,2005/01/01,2010/03/17,"top-100, literature","top-100 (#10), literature (#278)",read,,,,1,,,0,,,,,
3840,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","Tobias Smollett, Carlos Fuentes","=""037575699X""","=""9780375756993""",5,3.87,Modern Library,Paperback,1168,2001,1615,2004/01/01,2010/03/24,"spectacular, top-100, literature","spectacular (#4), top-100 (#19), literature (#277)",read,,,,1,,,0,,,,,
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",5,3.99,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2004/01/01,2010/03/17,"sci-fi, must-read, literature, top-1000","sci-fi (#33), must-read (#10), literature (#276), top-1000 (#81)",read,,,,1,,,0,,,,,
1122851,Core Java,Gary Cornell,"Cornell, Gary",Cary Horstman,"=""0135657555""","=""9780135657553""",5,4.29,Sunsoft Press,Paperback,622,1996,1996,,2016/05/26,,,read,,,,1,,,0,,,,,
624847,The Procrastinator's Handbook: Mastering the Art of Doing It Now,Rita Emmett,"Emmett, Rita",,"=""0802775985""","=""9780802775986""",3,3.56,Walker Books,Paperback,240,2000,2000,1997/01/01,2011/11/06,,,read,,,,1,,,0,,,,,
85009,Design Patterns: Elements of Reusable Object-Oriented Software,Erich Gamma,"Gamma, Erich","Ralph Johnson, John Vlissides, Richard Helm","=""0201633612""","=""9780201633610""",5,4.18,Addison-Wesley Professional,Hardcover,416,1994,1994,1996/01/01,2010/09/23,spectacular,spectacular (#47),read,,,,1,,,0,,,,,
5544,"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",,"=""0393316041""","=""9780393316049""",4,4.28,W. W. Norton & Company,Paperback,391,1997,1985,1995/01/01,2010/10/06,science,science (#95),read,,,,1,,,0,,,,,
2932,Robinson Crusoe (Robinson Crusoe #1),Daniel Defoe,"Defoe, Daniel",Virginia Woolf,"=""0375757325""","=""9780375757327""",4,3.67,Modern Library,Paperback,320,2001,1719,1994/01/01,2010/10/06,"literature, top-1000","literature (#275), top-1000 (#80)",read,,,,1,,,0,,,,,
38412,Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem,Simon Singh,"Singh, Simon",,"=""0385493622""","=""9780385493628""",5,4.25,Anchor,Paperback,315,1998,1997,1992/01/01,2012/12/09,science,science (#94),read,,,,1,,,0,,,,,
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick","Gert Westphal, John E. Woods, Tevfik Turan, François Berland, Maria Emília Ferros Moura, Silvija Borovnik, Kerim Pereng","=""0140120831""","=""9780140120837""",4,4.02,Penguin Books,Paperback,263,1987,1985,1986/01/01,2010/03/17,"literature, top-1000","literature (#274), top-1000 (#79)",read,,,,1,,,0,,,,,
486298,Death Be Not Proud,John Gunther,"Gunther, John",,"=""0060929898""","=""9780060929893""",3,3.83,Harper Perennial Modern Classics,Paperback,206,1998,1949,1990/01/01,2010/10/06,literature,literature (#273),read,,,,1,,,0,,,,,
46167,A Farewell to Arms,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",3,3.80,Scribner,Paperback,332,1995,1929,1990/01/01,2010/03/24,literature,literature (#272),read,,,,1,,,0,,,,,
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz","Stanley Corngold, Mircea Ivănescu","=""""","=""""",5,3.81,Bantam Classics,Paperback,201,1972,1915,1990/01/01,2010/03/17,"top-100, literature","top-100 (#5), literature (#271)",read,,,,1,,,0,,,,,
32829,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",Jules Verne,"Verne, Jules",,"=""0553213970""","=""9780553213973""",4,3.86,Bantam,Paperback,240,2006,1864,1986/01/01,2010/03/17,"sci-fi, literature","sci-fi (#79), literature (#270)",read,,,,1,,,0,,,,,
1595153,An Inspector Calls,J.B. Priestley,"Priestley, J.B.",,"=""0435227106""","=""9780435227104""",4,3.78,Heinemann Educational Publishers,Paperback,94,1975,1945,1986/01/01,2011/02/13,"theatre, literature","theatre (#28), literature (#269)",read,,,,1,,,0,,,,,
618787,Memórias Póstumas de Brás Cubas,Machado de Assis,"Assis, Machado de",,"=""8508040822""","=""9788508040827""",4,4.24,Editora Ática,Paperback,176,1999,1881,1984/01/01,2011/02/27,"literature, top-1000","literature (#268), top-1000 (#78)",read,,,,1,,,0,,,,,
8597727,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #2)",C.S. Lewis,"Lewis, C.S.",Christian Birmingham,"=""0007323123""","=""9780007323128""",4,4.21,HarperCollins Children's Books,Paperback,202,2009,1950,1984/01/01,2010/03/17,"2019, children, fantasy, literature","2019 (#57), children (#23), fantasy (#5), literature (#267)",read,,,,2,,,0,,,,,
6319,The BFG,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141311371""","=""9780141311371""",4,4.23,Puffin Books,Paperback,199,2001,1982,1984/01/01,2010/10/06,"children, literature","children (#12), literature (#266)",read,,,,1,,,0,,,,,
879761,The Periodic Table,Primo Levi,"Levi, Primo",Raymond Rosenthal,"=""0141185147""","=""9780141185149""",5,4.21,Penguin Books Ltd,Paperback,195,2000,1975,2019/11/14,2017/01/01,"2019, literature, top-1000","2019 (#52), literature (#171), top-1000 (#77)",read,,,,1,,,0,,,,,
767566,Mother Courage and Her Children,Bertolt Brecht,"Brecht, Bertolt",Eric Bentley,"=""0802130828""","=""9780802130822""",4,3.65,Grove Press,Paperback,128,1994,1941,2018/12/25,2018/12/17,"2018, theatre, literature, top-1000","2018 (#79), theatre (#57), literature (#146), top-1000 (#76)",read,,,,1,,,0,,,,,
30291800,Demian,Hermann Hesse,"Hesse, Hermann",Ivo Barroso,"=""""","=""""",4,4.13,Editora Record,Paperback,188,1974,1919,1990/01/01,2012/01/12,"literature, top-1000","literature (#241), top-1000 (#75)",read,,,,1,,,0,,,,,
